iter	Passed	Remaining
0	2	216
1	3	188
2	5	176
3	6	162
4	8	160
5	10	158
6	11	156
7	13	154
8	15	154
9	16	152
10	18	150
11	20	148
12	22	147
13	23	145
14	25	142
15	26	140
16	28	139
17	30	138
18	31	136
19	33	134
20	35	133
21	37	131
22	38	130
23	40	128
24	42	127
25	44	125
26	46	124
27	47	122
28	49	120
29	51	119
30	52	117
31	54	115
32	56	113
33	58	113
34	60	112
35	61	110
36	63	108
37	65	106
38	67	105
39	69	103
40	70	102
41	71	99
42	73	97
43	75	95
44	76	93
45	78	92
46	80	90
47	81	88
48	83	86
49	85	85
50	86	83
51	88	81
52	90	80
53	92	78
54	93	76
55	95	74
56	97	73
57	98	71
58	100	69
59	102	68
60	104	66
61	105	64
62	107	63
63	109	61
64	111	59
65	113	58
66	114	56
67	116	54
68	118	53
69	120	51
70	121	49
71	123	48
72	125	46
73	127	44
74	129	43
75	131	41
76	132	39
77	134	37
78	136	36
79	138	34
80	139	32
81	141	31
82	143	29
83	145	27
84	147	25
85	148	24
86	150	22
87	152	20
88	154	19
89	156	17
90	157	15
91	159	13
92	161	12
93	163	10
94	164	8
95	166	6
96	168	5
97	170	3
98	172	1
99	173	0
