iter	Passed	Remaining
0	1	1537
1	2	1365
2	4	1478
3	6	1513
4	7	1484
5	9	1523
6	10	1531
7	14	1772
8	15	1740
9	17	1706
10	18	1679
11	20	1670
12	21	1646
13	22	1612
14	24	1584
15	25	1562
16	26	1560
17	28	1572
18	30	1554
19	31	1534
20	32	1515
21	34	1511
22	37	1574
23	38	1574
24	40	1564
25	41	1552
26	43	1577
27	45	1582
28	46	1569
29	48	1557
30	49	1549
31	51	1547
32	52	1546
33	54	1543
34	55	1534
35	57	1542
36	59	1535
37	60	1525
38	61	1517
39	63	1518
40	64	1516
41	65	1504
42	67	1498
43	68	1491
44	70	1486
45	71	1487
46	74	1501
47	75	1496
48	77	1499
49	78	1493
50	80	1489
51	81	1483
52	82	1482
53	85	1489
54	87	1505
55	89	1502
56	90	1496
57	91	1494
58	93	1492
59	94	1488
60	96	1481
61	97	1477
62	98	1472
63	100	1467
64	101	1466
65	103	1464
66	104	1461
67	106	1456
68	108	1459
69	109	1457
70	111	1459
71	112	1455
72	114	1450
73	115	1445
74	117	1447
75	118	1443
76	119	1437
77	121	1433
78	122	1429
79	124	1428
80	125	1424
81	126	1420
82	127	1409
83	128	1406
84	130	1401
85	132	1403
86	133	1400
87	134	1397
88	136	1395
89	137	1392
90	139	1391
91	140	1386
92	141	1382
93	143	1379
94	144	1374
95	145	1372
96	147	1370
97	148	1367
98	149	1363
99	150	1358
100	152	1355
101	153	1352
102	154	1349
103	156	1345
104	157	1342
105	158	1338
106	159	1334
107	161	1333
108	163	1333
109	164	1330
110	165	1326
111	166	1322
112	167	1318
113	169	1314
114	170	1310
115	171	1306
116	172	1301
117	173	1297
118	174	1293
119	175	1289
120	177	1288
121	178	1284
122	179	1281
123	180	1277
124	181	1273
125	183	1270
126	184	1266
127	185	1263
128	186	1260
129	187	1257
130	189	1253
131	190	1251
132	191	1250
133	193	1249
134	194	1246
135	195	1243
136	196	1240
137	198	1237
138	199	1235
139	200	1232
140	201	1230
141	202	1224
142	203	1221
